test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
EMG1/nlrp3,0.0,0.0,,,,,0.4246402087492367,,,,,,8.162029018040284,,,,,,
EML2/ctrl,0.0,0.0,,,,,0.7420966887544532,,,,,,7.887940082788131,,,,,,
EML2/nlrp3,0.0,0.0,,,,,0.6159949871976443,,,,,,7.899916163599132,,,,,,
EMX2/ctrl,0.0,0.0,,,,,12.760224136637058,,,,,,3.57216325603637,,,,,,
ENO4/ctrl,0.0,0.0,,,,,1.3789893268820788,,,,,,5.938076959709273,,,,,,
ENO4/nlrp3,0.0,0.0,,,,,1.7522655768545092,,,,,,5.886137123944178,,,,,,
ENTPD3/ctrl,0.0,0.0,,,,,1.2226101303242844,,,,,,5.492166342581747,,,,,,
ENTPD3/nlrp3,0.0,0.0,,,,,0.07942074981243637,,,,,,5.3041965990189235,,,,,,
EPB41/ctrl,0.0,0.0,,,,,4.696367168990127,,,,,,6.932226497409035,,,,,,
EPB41/nlrp3,0.0,0.0,,,,,2.9802320556145285,,,,,,6.976185438822194,,,,,,
EPCAM/ctrl,0.0,0.0,,,,,1.1034730235949979,,,,,,7.215766455249646,,,,,,
EPCAM/nlrp3,0.0,0.0,,,,,1.5759859526094315,,,,,,7.223166232696391,,,,,,
EPHX1/ctrl,32.0,1.0,0.031210588003780515,0.4151424416045757,0.33377828383105024,,0.5060279509873421,0.18951389670574847,0.1403935268091272,25.68249439490952,0.0858010816939192,-2.5032109632206963,7.635140427017195,[12.74874875],[7.72094118],[28.7007007],[7.54934072],0.25193658767725335,0.123831257495633
EPHX1/nlrp3,32.0,1.0,0.04086273841668797,0.296872951789136,0.5096538966387698,,0.4409082598199522,0.17616919290712296,0.12624005308331232,28.162085847155247,0.07535150546072744,-1.9245792832802335,7.639440660116929,[9.8018018],[7.71479072],[25.81781782],[7.56408915],0.23516793578920345,0.1155891705921466
EPN2/ctrl,0.0,0.0,,,,,2.343106863587537,,,,,,6.2901210850879234,,,,,,
EPN2/nlrp3,0.0,0.0,,,,,2.78553527509448,,,,,,6.416549993008718,,,,,,
EPS15L1/ctrl,0.0,0.0,,,,,0.43426447317444594,,,,,,7.726850578395522,,,,,,
EPS15L1/nlrp3,0.0,0.0,,,,,0.47744099020385494,,,,,,7.735913005103315,,,,,,
ERAP1/ctrl,32.0,1.0,0.003197615740394344,0.04796423610591516,0.3635842386526795,,0.21875653673884335,0.2940444613438016,0.25125927718281993,40.77787939205276,0.07437792884632932,0.40881586082750054,7.82604201165973,[29.91791792],[7.90041942],[13.9019019],[7.75166408],0.1656473564090666,0.0814185848672349
ERAP1/nlrp3,0.0,0.0,,,,,0.2512802913300009,,,,,,7.857574614797981,,,,,,
ERF/ctrl,0.0,0.0,,,,,4.616407169503573,,,,,,6.8996555107355295,,,,,,
ERF/nlrp3,0.0,0.0,,,,,3.224287046211614,,,,,,6.955306325668808,,,,,,
ERGIC2/ctrl,0.0,0.0,,,,,0.20973598824846734,,,,,,7.9135876836241215,,,,,,
ERGIC2/nlrp3,21.0,1.0,0.011204071494917645,0.051599552865561615,0.9594175344216793,,0.07190252513889087,0.23830631349522557,0.19214305976766355,60.805543801808284,0.033963325398078226,-1.6226844937460791,7.919240816472519,[5.42342342],[7.95320414],[15.93393393],[7.88527776],0.09496773082216779,0.04667830757587734
ERICH3/ctrl,0.0,0.0,,,,,0.0040332783372805225,,,,,,5.362721914116362,,,,,,
ERP44/ctrl,0.0,0.0,,,,,0.14963108768472297,,,,,,8.602681593702854,,,,,,
ERP44/nlrp3,0.0,0.0,,,,,0.13249990230587938,,,,,,8.622642645461351,,,,,,
ESAM/ctrl,0.0,0.0,,,,,0.4235872083443601,,,,,,5.483368178816029,,,,,,
ESAM/nlrp3,0.0,0.0,,,,,7.226025949896821,,,,,,3.235864020115203,,,,,,
ESRRA/ctrl,0.0,0.0,,,,,0.564510883120889,,,,,,5.666127640014565,,,,,,
ESRRA/nlrp3,0.0,0.0,,,,,0.4558765938875606,,,,,,5.815229126288717,,,,,,
ETF1/ctrl,32.0,1.0,0.029730872868127922,0.24388507986342733,0.1295968260180509,,0.09746860452659385,0.1918962336479686,0.14292024780845158,55.32960293523436,0.036287554214041506,1.515763422452733,8.828361630052108,[24.28028028],[8.86464918],[8.26426426],[8.79207442],0.11056975921233082,0.05434697854125333
ETF1/nlrp3,32.0,1.0,0.006611865171740283,0.09917797757610425,0.8872892602384996,,0.11327962799375835,0.2622683369085206,0.2175573270241885,52.62368049076122,0.049604948834002016,1.1132370364071944,8.848205980633399,[26.33033033],[8.89781093],[10.31431431],[8.79860138],0.11920099944526448,0.05858938470244297
ETFA/ctrl,0.0,0.0,,,,,0.7871142695978585,,,,,,8.430572406641339,,,,,,
ETFA/nlrp3,0.0,0.0,,,,,0.6264497080897122,,,,,,8.449252773242634,,,,,,
ETFB/ctrl,32.0,1.0,0.0444082781573818,0.5152537325356055,0.5142782893330147,,0.37463221398339114,0.17200423162560774,0.1218226699059477,31.094142642574035,0.06821413021181666,-2.8302636518826967,8.129189938548752,[14.41441441],[8.19740303],[30.36636637],[8.06097612],0.21677367939901612,0.10654807052607773
ETFB/nlrp3,22.0,1.0,0.04729152596974584,0.20843629481388204,0.7664733706334051,,0.29218161176131735,0.16884152409042374,0.11846828312620705,35.56838851217437,0.06018762056287841,-2.0126319302276947,8.11778399768553,[7.04704705],[8.1779709],[18.01401401],[8.05759685],0.19143900568623426,0.09409563345443525
ETS1/ctrl,32.0,1.0,0.002582045324702631,0.038730679870539464,0.2848835643831499,,0.3869415477105767,0.30313392125640515,0.2608996134537631,30.51222316045719,0.10241142791107283,-2.4780530640928498,7.624767286467749,[12.62062062],[7.7271776],[28.57257257],[7.52235677],0.2203061758577423,0.10828435457523423
ETS1/nlrp3,32.0,1.0,0.01162091063732118,0.17218506532750366,0.22689107027505806,,0.39881057757268124,0.23661815364237737,0.19035258719646087,29.968390616233513,0.08771851988713086,-2.490632013656773,7.639270275895228,[12.68468468],[7.7269888],[28.7007007],[7.55155176],0.22365948675227457,0.10993256577263162
EVA1C/ctrl,0.0,0.0,,,,,5.993825551021175,,,,,,6.735249509035495,,,,,,
EVA1C/nlrp3,0.0,0.0,,,,,7.990764350328855,,,,,,6.753376429221497,,,,,,
EVI5L/ctrl,0.0,0.0,,,,,7.621616065744181,,,,,,6.131936885834946,,,,,,
EVI5L/nlrp3,0.0,0.0,,,,,10.431270807654226,,,,,,6.110871276083685,,,,,,
EXOC1/ctrl,0.0,0.0,,,,,0.471089760600343,,,,,,7.80085903266831,,,,,,
EXOC1/nlrp3,0.0,0.0,,,,,0.4442005940218311,,,,,,7.7850492101330895,,,,,,
EXOC3/ctrl,0.0,0.0,,,,,0.7817871804559109,,,,,,7.340690465624919,,,,,,
EXOC3/nlrp3,0.0,0.0,,,,,0.667737211748175,,,,,,7.332586245647978,,,,,,
EXOC4/ctrl,0.0,0.0,,,,,2.4068125506943785,,,,,,7.8470432190263715,,,,,,
EXOC4/nlrp3,0.0,0.0,,,,,1.6542340128839768,,,,,,7.840178917313143,,,,,,
EXOC5/ctrl,0.0,0.0,,,,,0.6964481969905469,,,,,,7.576253765539045,,,,,,
EXOC5/nlrp3,0.0,0.0,,,,,0.7085589553299396,,,,,,7.614563506895157,,,,,,
