test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
AKR7L/nlrp3,0.0,0.0,,,,,3.2578177208910866,,,,,,6.228954093016927,,,,,,
AKTIP/ctrl,0.0,0.0,,,,,2.717936494510369,,,,,,6.547636816186914,,,,,,
AKTIP/nlrp3,0.0,0.0,,,,,2.335272841194147,,,,,,6.630811234799669,,,,,,
ALDH16A1/ctrl,32.0,1.0,0.0161861661004459,0.1745987991815875,0.7491886906428488,,0.7119073727585382,0.2211330559821799,0.1739289987689787,19.53808816536354,0.1109766143314345,-2.0126319302276947,7.629162703550037,[10.25025025],[7.74013901],[26.2022022],[7.51818798],0.298824179039511,0.1468773321164728
ALDH16A1/nlrp3,0.0,0.0,,,,,0.9293552191293912,,,,,,7.627764139492136,,,,,,
ALDH18A1/ctrl,0.0,0.0,,,,,0.1701780671218178,,,,,,8.750417581971575,,,,,,
ALDH18A1/nlrp3,0.0,0.0,,,,,0.0916206589870608,,,,,,8.771099104536844,,,,,,
ALG1/ctrl,32.0,1.0,0.0414975876841179,0.3519961795847437,0.435508504134427,,0.496143981911196,0.175399091081626,0.1254232784199064,26.03755764571596,0.0811711427694548,-2.4277372658371577,7.623759407812596,[12.36436436],[7.70493055],[28.38038038],[7.54258924],0.2494639838752884,0.1226159293017065
ALG1/nlrp3,0.0,0.0,,,,,0.2867253651694919,,,,,,7.664638687490353,,,,,,
ALG12/ctrl,0.0,0.0,,,,,4.927840899757661,,,,,,6.79433213126065,,,,,,
ALG12/nlrp3,0.0,0.0,,,,,2.3596525435044584,,,,,,6.834058182806444,,,,,,
ALKBH3/ctrl,20.0,1.0,0.0266573362880513,0.1547432013835341,0.887447712849844,,2.6411325968932613,0.1972229383156148,0.1485697830620158,-4.060187407547943,0.1804806763310327,-1.4340002502872329,7.27394791956433,[4.56456456],[7.4544286],[14.57457457],[7.09346724],0.5755712496447931,0.2829033777069083
