ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_24_1,ZT_24_2,ZT_24_3
1.0,2.0,0.0,1.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,2.0,0.0,0.0
0.0,1.0,1.0,2.201,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,5.0,1.002,1.0,2.385,3.011
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.303,0.0,3.107,7.967,7.356,5.551,3.519,5.01,6.075,9.76,7.639,4.15,13.853,11.75,5.21,9.368,3.932,3.412
140.0,139.165,93.0,102.0,132.0,115.0,85.713,73.0,97.011,122.001,113.0,104.045,143.0,111.0,140.004,153.997,171.0,154.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0
2868.551,2977.409,2308.555,2473.36,2635.751,2276.519,2556.57,2539.493,3475.486,3134.373,3198.36,2774.206,2991.025,3763.736,3461.042,3346.895,2601.568,2668.397
959.254,840.227,655.144,802.958,799.701,795.906,843.263,769.572,846.226,1057.143,1069.439,937.231,1099.408,1080.221,1155.141,1136.01,915.538,968.364
10535.574,11540.333,8959.661,11013.296,10842.392,9981.743,10957.17,9611.915,13325.266,11552.318,11148.839,10058.843,9963.089,13850.775,11122.771,10602.022,7140.58,8367.291
6966.449,8139.034,5566.065,6245.051,6258.958,5679.305,6045.113,5988.647,6339.282,7847.241,6086.39,6017.044,7037.619,6334.101,6956.872,6411.169,4371.024,5101.358
7621.546,8661.83,6270.203,7307.337,7161.043,6663.231,6746.408,6071.765,7536.915,7077.09,6594.232,6662.662,6714.029,7205.659,8207.247,6817.87,4483.155,5784.641
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2435.629,2558.484,1805.696,2128.707,2149.356,2001.933,2214.571,2220.061,2194.561,3021.34,2579.777,2430.876,2811.124,2405.432,2856.215,2620.121,2067.597,2403.998
115.002,179.0,98.045,180.0,312.999,226.0,290.045,375.0,380.0,283.001,503.165,383.0,252.0,567.0,696.169,561.638,641.404,737.038
70.0,91.0,69.006,102.0,104.003,88.0,96.0,121.0,101.0,137.036,108.0,80.0,111.014,102.0,101.0,93.001,65.0,59.0
13.0,14.0,11.0,11.0,15.0,5.0,12.0,7.0,12.0,14.0,16.0,14.0,17.0,14.0,21.0,22.0,23.016,26.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1123.692,1055.651,842.25,1029.058,1150.146,904.017,1221.334,1097.0,1291.892,1276.868,1567.364,1192.838,1047.811,1667.047,1397.461,1228.13,1101.257,1122.243
586.204,658.023,456.829,732.159,722.0,682.174,697.665,594.001,730.078,913.238,785.0,816.002,804.241,854.273,892.13,837.0,687.913,711.015
11.0,11.0,3.0,8.0,7.0,3.0,3.0,3.0,3.0,5.0,12.0,9.0,7.0,7.0,4.0,4.0,6.0,4.0
2634.914,2583.512,2197.147,2585.14,2604.143,2495.893,2498.399,2056.781,2859.534,3203.784,2861.905,2762.228,2906.206,2929.559,3301.901,2949.553,2421.571,2727.503
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168.218,1053.307,888.652,998.804,1113.508,863.773,940.03,756.0,1043.107,1061.002,978.068,785.0,1013.726,1099.315,960.228,1012.357,675.052,734.029
197.839,169.435,141.348,192.782,161.992,176.085,146.433,111.659,197.581,208.822,194.058,184.024,194.294,180.231,197.273,165.333,157.583,145.468
13.371,14.956,10.893,41.981,31.959,39.599,24.417,21.355,36.126,29.931,40.262,43.127,45.822,59.877,54.497,28.329,28.372,32.698
541.195,751.135,402.233,467.057,569.122,451.339,423.128,365.0,513.0,510.001,567.256,459.001,463.259,673.999,567.004,544.385,672.288,633.001
294.441,277.097,125.0,338.0,298.013,283.0,216.001,191.0,241.031,351.175,231.0,234.0,365.26,308.934,302.0,302.082,248.048,252.963
1142.038,1044.321,824.222,943.784,962.479,830.001,925.716,780.058,998.07,1112.018,1002.002,1005.006,1056.267,1024.587,1147.056,1082.636,857.184,952.999
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.006,0.0,2.0,0.0,0.0
3830.768,3868.413,2322.123,3453.96,4111.96,2902.965,3046.013,2062.318,3025.729,4490.262,3774.33,3689.385,4532.994,3495.317,4115.459,3276.443,3034.206,3023.753
0.0,3.387,1.082,2.283,0.0,0.0,0.0,0.0,1.102,1.095,1.097,1.084,0.0,1.091,4.505,0.0,0.0,1.093
0.0,0.0,1.007,0.0,2.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.021,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.044,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.148,1.034,0.0,0.0,0.0,1.053,0.0,0.0,0.0,0.0,1.113,0.0,0.0,0.0
619.894,616.165,474.068,521.08,474.072,450.0,526.887,419.0,676.204,627.599,575.0,509.0,631.446,718.0,688.0,660.261,521.113,538.002
950.464,1056.006,783.605,894.852,907.232,925.0,849.071,688.967,1149.348,1157.858,1156.365,968.324,1148.591,1316.0,1288.136,1078.599,940.158,950.105
359.366,367.999,220.082,269.0,313.013,301.111,354.999,386.001,401.132,376.149,389.0,298.075,370.013,454.0,398.001,378.009,306.13,284.0
4745.22,5136.038,3485.257,3935.48,3708.309,3981.74,4326.539,4123.452,4416.548,5060.873,4968.673,4149.959,5865.171,5493.024,5102.756,5158.651,3592.521,3744.239
423.0,371.216,308.821,429.788,451.178,338.162,388.74,414.0,553.342,554.001,534.632,472.0,551.396,506.0,513.0,484.463,354.702,361.0
1267.915,1106.0,950.516,834.125,761.365,772.0,736.22,611.092,934.008,1378.692,1076.121,1274.021,1454.845,1394.705,1643.922,1773.718,1466.918,1670.049
1302.327,1359.029,1062.241,1190.122,1214.806,1064.154,1189.035,900.001,1225.76,1346.119,1094.051,1121.25,1182.93,1262.0,1184.764,1112.794,770.463,908.999
342.0,337.0,228.0,279.052,318.48,286.0,270.097,206.0,262.999,325.006,322.166,235.001,323.001,281.0,301.0,278.0,264.349,219.085
695.272,681.017,477.0,685.707,822.032,628.0,657.801,440.07,680.074,1045.363,877.005,1056.0,959.858,979.005,1217.477,1297.272,1172.339,1338.0
3890.458,3580.772,2999.731,3001.499,2664.524,2879.466,3153.771,3036.709,4119.785,4089.406,3664.025,3141.772,3632.792,3837.981,3914.008,3623.463,2921.272,3079.258
1528.984,1822.903,1113.961,1678.034,1814.759,1620.064,1956.63,2090.555,2382.255,1999.323,2475.025,2017.726,2001.848,3099.043,2795.674,3010.638,2645.22,2651.312
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
31.0,26.0,14.0,16.0,16.0,19.017,18.999,26.0,25.0,9.0,25.0,13.0,11.0,22.0,11.0,25.0,40.001,10.0
1342.101,1398.468,1096.825,1055.047,1063.236,973.463,985.488,848.0,1100.148,1172.076,1033.013,897.04,959.379,1153.054,906.0,938.745,615.311,724.216
4802.147,5173.651,3134.345,3918.951,3549.64,3412.455,3652.162,3157.013,3774.945,4289.646,3847.006,3658.877,4295.929,3753.65,4645.547,4505.589,3405.769,3488.573
2737.441,3092.326,1749.208,1844.788,1803.085,1579.012,2104.952,2097.999,1961.315,2099.272,1839.0,1506.289,2185.533,1849.715,1881.127,2131.629,1425.029,1395.235
5216.602,5323.715,4068.732,3968.319,3920.507,4076.264,4517.752,4031.413,5237.329,5044.053,4948.745,4509.964,5304.042,5638.491,5758.885,5942.395,4449.065,4781.266
1.0,7.0,1.0,0.0,5.0,0.0,2.0,0.0,2.0,1.0,5.0,4.0,2.0,7.0,1.0,3.0,7.0,10.0
2903.373,3111.697,2232.451,1791.386,1781.472,1830.006,1772.226,1905.0,2213.587,2304.247,2417.18,2273.018,2178.885,2588.165,2913.021,2428.799,2177.054,2516.393
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
2426.606,3230.82,1747.274,2089.229,2301.876,2037.999,2392.849,2525.513,2635.835,3596.011,3059.252,2921.712,3359.085,3311.991,3650.047,3164.632,2716.763,2806.646
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112.267,1976.539,1632.997,1912.026,1960.023,1656.299,1907.818,1625.181,2289.118,2566.797,2062.188,1829.186,2055.924,2406.802,2280.603,1847.973,1402.52,1840.281
229.569,276.001,174.16,190.0,232.994,218.0,262.551,249.999,347.823,317.005,406.377,325.001,221.0,480.456,351.0,349.917,345.055,295.376
1775.915,1778.059,1372.764,1426.133,1483.93,1349.066,1388.974,1225.102,1619.011,1722.149,1474.971,1312.472,1327.175,1708.953,1479.413,1414.461,1006.207,1107.164
2176.63,2385.022,1792.155,1774.664,2102.362,1699.55,1750.032,1490.0,1910.006,2150.517,2044.373,1975.585,1864.588,1976.819,2160.59,2011.862,1463.082,1802.196
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
328.063,313.001,228.0,230.999,283.0,225.033,237.07,241.001,236.999,451.004,395.0,381.0,529.061,437.0,434.0,461.06,459.353,470.999
307.009,314.0,193.006,372.045,343.009,334.0,364.0,310.0,350.0,522.001,406.0,446.006,657.134,468.0,601.0,686.861,455.05,447.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
25.011,16.0,17.0,26.0,25.0,29.0,23.0,26.0,40.0,40.0,35.0,32.0,31.0,52.0,53.0,24.0,38.0,44.0
0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,4.0,0.0,3.0,3.0,3.0,4.0,2.0,1.0
1.0,1.0,2.0,2.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,8.0,3.0,3.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,5.0,3.0,4.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
6.008,2.002,3.003,4.003,4.007,4.005,9.019,0.0,4.012,6.009,4.004,3.002,5.007,9.008,7.005,6.007,2.004,9.006
51.737,50.64,9.511,51.21,61.389,19.915,3.26,13.399,45.315,79.23,22.232,34.132,36.388,18.338,39.306,47.383,12.096,30.835
1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.11,0.0,1.135,1.11,3.601,1.147,2.433,1.163,5.181,1.182,7.176,3.812,1.155,1.184,0.0,2.641,1.146,1.17
2.783,0.0,0.0,0.0,1.0,0.0,0.0,2.626,0.0,2.849,2.908,0.0,0.0,6.163,0.0,0.0,0.0,0.0
149.003,55.105,59.095,163.301,147.475,137.846,76.562,108.453,115.365,135.969,143.745,157.726,84.711,96.909,95.262,146.297,94.474,127.839
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,25.0,25.0,37.0,38.0,21.0,31.0,15.0,29.0,17.0,28.0,10.0,39.0,32.0,19.0,27.0,21.0,8.0
139.0,144.003,71.053,79.0,91.0,74.0,104.002,88.0,80.0,90.0,102.0,52.0,128.0,112.089,74.0,113.026,67.016,56.0
23.0,26.0,17.0,14.0,36.0,31.0,39.0,28.0,34.0,38.0,31.0,20.0,27.0,34.0,32.0,45.0,27.0,22.0
0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,0.0,1.009,0.0,0.0,0.0,1.002,0.0,1.007,2.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,3.125,0.0,0.0,1.036,0.0,2.839,0.0,0.0,0.0
0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5.0,2.0,6.0,9.0,9.0,14.0,7.0,11.0,9.0,7.0,10.0,9.0,6.0,6.0,12.0,5.0,5.0,5.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13.0,24.0,7.0,11.0,6.0,11.0,10.0,14.0,12.0,24.0,26.0,25.079,21.0,22.0,21.004,19.0,11.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
6.353,7.704,1.436,2.006,12.703,8.54,1.059,0.0,3.886,7.762,7.608,10.533,2.758,4.015,9.41,5.658,7.04,4.342
0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
