ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_24_1,ZT_24_2,ZT_24_3
6857.011,6482.621,7280.303,7884.058,7234.08,6041.155,6611.105,8715.369,5778.297,5168.793,6429.202,5358.194,5714.265,6272.262,5422.927,7809.222,7094.239,3703.944
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406.584,2114.968,2487.917,2203.927,2526.505,1916.644,2340.611,3268.863,2000.553,1917.466,2574.61,1890.521,2085.845,2497.023,1978.021,2925.641,2814.967,1492.161
90.004,156.002,124.001,186.0,89.001,162.0,247.0,532.084,230.0,346.0,277.0,310.298,322.0,226.822,323.001,480.001,316.003,371.312
64.0,52.0,94.0,104.0,118.0,88.0,94.038,127.019,97.979,80.037,121.0,123.007,79.0,123.047,108.999,118.0,116.0,64.001
10.0,13.0,11.0,10.0,10.0,9.0,14.0,24.0,9.0,8.0,13.0,12.0,12.0,17.0,10.0,28.0,19.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
980.707,862.955,1264.297,1276.968,851.462,1216.999,1161.67,1468.543,1493.43,1306.055,1202.707,1372.106,1063.193,1045.155,1252.294,1638.438,1100.057,833.004
633.054,561.735,694.115,752.001,889.936,658.002,766.134,1130.895,719.892,576.029,787.142,675.361,744.001,803.229,674.0,1011.737,921.73,540.517
5.0,8.0,6.0,5.0,4.0,11.0,7.0,17.0,15.0,5.0,6.0,12.0,6.0,12.0,3.0,0.0,9.0,4.0
2618.334,2239.386,2752.735,2658.215,3115.541,2260.992,2583.966,3919.156,2468.991,2123.581,2857.756,2122.15,2392.809,2836.08,2284.219,3558.239,3170.99,1828.549
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091.955,854.878,1226.573,1223.398,1026.115,1081.054,951.278,978.014,1143.437,919.03,879.001,1025.895,788.0,937.646,798.254,1315.071,970.755,539.977
218.519,152.244,210.93,175.78,216.999,167.05,177.329,252.691,149.045,119.542,227.384,125.113,146.534,199.063,128.635,216.061,206.386,133.716
34.145,25.726,18.632,30.821,58.684,13.91,13.593,33.504,14.783,15.875,51.126,22.782,23.054,95.481,8.965,52.568,46.922,16.861
563.2,772.276,572.729,481.007,554.003,413.001,413.149,851.497,431.003,328.671,431.13,419.001,395.151,438.003,416.198,735.999,480.049,416.014
280.123,270.212,212.102,353.667,464.004,249.0,287.0,314.007,164.0,200.0,306.142,167.949,219.17,322.0,164.0,412.114,410.021,169.015
999.4,830.977,1027.03,898.002,1135.749,716.002,920.113,1249.032,848.809,744.189,1022.205,791.102,828.929,983.515,758.029,1207.005,1161.735,607.086
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
3960.9,3238.209,3888.363,2980.345,5104.64,2323.844,3319.097,5361.971,2563.258,2821.694,3650.961,2475.003,3187.776,3812.285,2482.017,4406.135,3849.513,1909.402
2.286,0.0,3.34,3.454,0.0,1.113,1.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091,1.089,0.0
0.0,0.0,0.0,0.0,2.249,0.0,0.0,1.006,4.096,0.0,0.0,2.028,0.0,0.0,0.0,0.0,1.009,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.026,0.0,0.0,1.022,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023,0.0,1.02,0.0,0.0
1.049,0.0,0.0,0.0,0.0,1.043,0.0,1.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.134,0.0,0.0
586.574,476.187,585.001,559.072,578.135,447.0,517.287,635.331,522.26,569.125,576.0,490.001,463.487,543.6,503.368,801.309,553.011,340.269
926.043,791.809,961.518,1125.053,1042.019,865.0,895.154,1059.351,954.015,976.338,1048.576,901.885,878.118,1137.763,852.009,1441.0,1050.279,623.479
