test,x,y
NEK4/nlrp3,36.0,6.31473410029252
NEK4/nlrp3,36.0,6.12518447774687
NEK4/nlrp3,36.0,5.86034279875953
NEK4/nlrp3,36.0,6.11353592666207
ANAPC16/ctrl,4.0,6.66935798315229
ANAPC16/ctrl,4.0,6.48667511681372
ANAPC16/ctrl,4.0,6.13471629275086
ANAPC16/ctrl,4.0,6.3903178292336
ANAPC16/ctrl,8.0,6.61563488980717
ANAPC16/ctrl,8.0,6.38311580409219
ANAPC16/ctrl,8.0,6.37697785569156
ANAPC16/ctrl,12.0,5.98089968478162
ANAPC16/ctrl,12.0,6.33055925792406
ANAPC16/ctrl,12.0,6.39236064046374
ANAPC16/ctrl,16.0,6.6271524467601
ANAPC16/ctrl,16.0,6.35610696893989
ANAPC16/ctrl,16.0,6.62495395863774
ANAPC16/ctrl,16.0,6.44551904830147
ANAPC16/ctrl,20.0,6.27353113540443
ANAPC16/ctrl,20.0,6.40087130981535
ANAPC16/ctrl,20.0,6.48121151662193
ANAPC16/ctrl,24.0,6.67184108628429
ANAPC16/ctrl,24.0,6.17460691254579
ANAPC16/ctrl,24.0,5.76794504490742
ANAPC16/ctrl,28.0,6.15474523826237
ANAPC16/ctrl,28.0,6.09206449790685
ANAPC16/ctrl,32.0,5.909931328521
ANAPC16/ctrl,32.0,6.05332357772146
ANAPC16/ctrl,32.0,6.53190521048184
ANAPC16/ctrl,32.0,5.79977118358098
ANAPC16/ctrl,36.0,6.12315065324132
ANAPC16/ctrl,36.0,5.77086305288692
ANAPC16/ctrl,36.0,6.70118005508681
ANAPC16/nlrp3,4.0,6.28365666182502
ANAPC16/nlrp3,4.0,6.00688686861087
ANAPC16/nlrp3,4.0,5.72936163604366
ANAPC16/nlrp3,8.0,6.27007716038329
ANAPC16/nlrp3,8.0,6.65376988658127
ANAPC16/nlrp3,12.0,6.98759231239901
ANAPC16/nlrp3,12.0,6.24381659880897
ANAPC16/nlrp3,16.0,6.31815248145875
ANAPC16/nlrp3,16.0,7.04487178249
ANAPC16/nlrp3,16.0,6.40330655848545
ANAPC16/nlrp3,16.0,5.50147965302648
ANAPC16/nlrp3,20.0,6.18568717876219
ANAPC16/nlrp3,20.0,6.90131089781076
ANAPC16/nlrp3,20.0,6.18225083374104
ANAPC16/nlrp3,20.0,6.12346321458145
ANAPC16/nlrp3,24.0,5.5570112697505
ANAPC16/nlrp3,24.0,5.68950420329493
ANAPC16/nlrp3,24.0,6.35537373479324
ANAPC16/nlrp3,24.0,6.50313316200128
ANAPC16/nlrp3,28.0,6.51704234968978
ANAPC16/nlrp3,28.0,6.55216526258228
ANAPC16/nlrp3,28.0,6.4959274022188
