pVal,phase,peak.shape,period,names
3.1094044995958885e-4,20,8,24,AC009533.1_ctrl
0.01024221960452482,20,16,24,AC009570.1_ctrl
0.003602356225725688,8,16,24,AC009686.2_ctrl
7.427885688031284e-6,20,8,24,AC009779.3_ctrl
4.336790866868948e-5,20,12,24,AC009779.4_ctrl
0.022759702459642032,20,8,24,AC010132.3_ctrl
0.04449195647686913,20,12,24,AC010148.1_ctrl
1.4818331867522403e-6,20,8,24,AC010173.1_ctrl
2.542857054041658e-4,20,8,24,AC010186.2_ctrl
0.005695222466505794,20,8,24,AC010186.3_ctrl
0.033083762508441146,12,12,24,AC010198.2_ctrl
0.013803843271283481,20,12,24,AC010203.1_ctrl
0.011706107249430667,20,12,24,AC010327.8_ctrl
0.005695222466505794,20,16,24,AC010442.1_ctrl
0.03345572316830705,16,20,24,AC010491.1_ctrl
0.04446396489538311,20,16,24,AC010501.2_ctrl
0.00421235417250881,20,16,24,AC010503.5_ctrl
0.0034780294801521152,4,12,24,AC010547.4_ctrl
0.027379665524227156,12,16,24,AC010615.1_ctrl
0.01343726789545509,12,16,24,AC010615.2_ctrl
0.04865893218304095,20,16,24,AC010618.3_ctrl
0.03190853230584182,16,16,24,AC010641.2_ctrl
0.02300917026717133,20,12,24,AC010642.2_ctrl
0.004238159836355098,24,4,24,AC010654.1_ctrl
0.02009271219220266,8,8,24,AC010680.2_ctrl
0.011404856111432351,4,20,24,AC010680.3_ctrl
1.7284933886397792e-5,20,16,24,AC010719.1_ctrl
0.016695425737632268,20,16,24,AC010776.2_ctrl
0.006875556742692078,20,20,24,AC010864.1_ctrl
7.781594530318487e-6,20,8,24,AC010896.1_ctrl
0.004066630904052683,20,4,24,AC010969.2_ctrl
1.6274642031210065e-4,20,8,24,AC010996.1_ctrl
0.003314167727667633,20,16,24,AC010999.2_ctrl
0.04791441466739752,20,4,24,AC011346.1_ctrl
0.00842470834501762,20,12,24,AC011374.1_ctrl
3.890797265159244e-6,20,12,24,AC011462.5_ctrl
1.3039573347170533e-4,20,8,24,AC011468.5_ctrl
0.014181569913707476,4,4,24,AC011479.2_ctrl
0.012653522998676524,24,12,24,AC011497.2_ctrl
0.04788426988733566,20,8,24,AC011498.7_ctrl
0.04737631014794437,24,4,24,AC011611.4_ctrl
0.005893334350878924,20,20,24,AC011815.1_ctrl
3.8209153440642414e-5,24,4,24,AC012063.1_ctrl
0.01343726789545509,8,16,24,AC012065.3_ctrl
1.6459439697978637e-4,16,12,24,AC012073.1_ctrl
3.6488429168084916e-6,20,16,24,AC012181.1_ctrl
0.012396582729817772,20,20,24,AC012181.2_ctrl
1.65334150217718e-5,20,8,24,AC012184.3_ctrl
3.490197572599427e-6,20,8,24,AC012313.1_ctrl
0.020060623931551957,8,4,24,AC012313.10_ctrl
